Title,Short_Title,Link,Sale_Price,Original_Price,Reviews,Discount (%)
"Lenovo IdeaPad Duet Chromebook 10.1 Inch FHD 2-in-1 Laptop - (MediaTek P60T, 4 GB RAM, 64 GB eMCP, Chrome OS)",Lenovo IdeaPad Duet Chromebook,/Lenovo-IdeaPad-Duet-Chromebook-Laptop/dp/B08BLH2DHL/ref=sr_1_42?keywords=macbook+pro+m1&qid=1641921621&sr=8-42,0,0,352,
"11.6"" HD Windows 10 Professional Slim n Light Laptop - Windows 11 Compatible Intel N4020 128GB Storage, 4GB RAM, Anti-Glare, Dual-Band WiFi, USB 3.0 - Thin & Lightweight Design -C60Bv2 128GB N2 Model","11.6"" HD Windows 10 Profession",/11-6-Windows-Professional-Light-Laptop/dp/B09GYN3GNW/ref=sr_1_43?keywords=macbook+pro+m1&qid=1641921621&sr=8-43,0,0,5,
"iOTA Flo 360 11.6-inch Touchscreen Laptop (Intel Celeron Dual Core, 4GB RAM, 64GB eMMC, Windows 10S) Includes; Microsoft 365 Personal 1-year Subscription",iOTA Flo 360 11.6-inch Touchsc,/iOTA-11-6-inch-Touchscreen-Windows-Convertible/dp/B08M77QPBR/ref=sr_1_44?keywords=macbook+pro+m1&qid=1641921621&sr=8-44,0,0,430,
"Microsoft Surface Laptop 3 Ultra-Thin 13” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition",Microsoft Surface Laptop 3 Ult,/Microsoft-Surface-Ultra-Thin-Touchscreen-Platinum/dp/B07Y5H8WYW/ref=sr_1_45?keywords=macbook+pro+m1&qid=1641921621&sr=8-45,798,999,452,20.12012012
"HUAWEI MateBook D 14 Laptop, Full View 1080P FHD Ultrabook PC- (Intel Core i5-10210U, MX 250, Multi-screen Collaboration, 8 GB RAM, 512 GB SSD, Windows 10 Home，FREE Upgrade to Windows 11), Gray","HUAWEI MateBook D 14 Laptop, F",/HUAWEI-Ultrabook-Multi-screen-Collaboration-Fingerprint/dp/B091649MP4/ref=sr_1_46?keywords=macbook+pro+m1&qid=1641921621&sr=8-46,0,0,62,
"HUAWEI MateBook D15 2021 11th Gen Intel Core i5 Laptop - 15.6 inch, 1080P Eye Comfort FullView Ultrabook, Wi-Fi 6, 8GB memory, 512GB SSD, Windows 11, Space Grey",HUAWEI MateBook D15 2021 11th ,/HUAWEI-MateBook-2021-Intel-Laptop/dp/B09M8K4RYQ/ref=sr_1_47?keywords=macbook+pro+m1&qid=1641921621&sr=8-47,0,0,282,
"Apple MacBook Pro 15"" (Mid 2015) - Core i7 2.5GHz, 16GB RAM, 512GB SSD (Renewed)","Apple MacBook Pro 15"" (Mid 201",/Apple-MacBook-Display-Graphics-Refurbished/dp/B07F2H9QND/ref=sr_1_48?keywords=macbook+pro+m1&qid=1641921621&sr=8-48,809.99,809.99,36,0
"2021 15.6-inch Laptop 6G + 256G celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",2021 15.6-inch Laptop 6G + 256,/15-6-inch-high-Performance-Quad-core-continuously-Bluetooth/dp/B08HKXFBKJ/ref=sr_1_49?keywords=macbook+pro+m1&qid=1641921626&sr=8-49,348,348,14,0
"Apple MacBook Pro 15"" (2017) - i7 2.8GHz, 16GB, 256GB SSD - Space Grey (Renewed)","Apple MacBook Pro 15"" (2017) -",/Apple-MacBook-Pro-15-Renewed/dp/B07HM6FZ4S/ref=sr_1_50?keywords=macbook+pro+m1&qid=1641921626&sr=8-50,989,989,4,0
"CHUWI Coreboox Xpro15.6 Inch Gaming Laptops, Intel Core i5-8259U(Up to 3.8GHz), 8GB RAM+512GB SSD Windows 10 Laptop, FHD 1920x1080 IPS Dispaly, 2.4G/5G Dual Wifi, Backlit Keyboard, Mini-HDMI, BT5.1",CHUWI Coreboox Xpro15.6 Inch G,/CHUWI-2160x1440-Intel-Processor-Keyboard/dp/B08KZZ5FH2/ref=sr_1_51?keywords=macbook+pro+m1&qid=1641921626&sr=8-51,0,0,55,
"15.6 Zoll Laptop Notebook, FHD 1920 x 1080 with Intel M-5Y51 Windows 10 Pro 64 Bits, 8GB RAM 128GB SSD Supports Expand, WiFi, Bluetooth, Webcam, HDMI, Silver","15.6 Zoll Laptop Notebook, FHD",/Laptop-Notebook-Windows-Supports-Bluetooth/dp/B094J2YX4M/ref=sr_1_52?keywords=macbook+pro+m1&qid=1641921626&sr=8-52,198,238,1,16.80672269
"Apple MacBook Air 13"" (2020) - M1 8-Core 3.2GHz, 8GB RAM, 256GB SSD - Space Grey (Renewed)","Apple MacBook Air 13"" (2020) -",/Apple-MacBook-Air-13-Renewed/dp/B08R2W66QC/ref=sr_1_53?keywords=macbook+pro+m1&qid=1641921626&sr=8-53,850,850,2,0
"15.6 Zoll Laptop Notebook, 1920 x 1080 IPS Screen, Intel Core M-5Y51 CPU, 8GB RAM 128GB SSD, Windows 10, USB 3.0, Multiple Interfaces","15.6 Zoll Laptop Notebook, 192",/Laptop-Notebook-Windows-Multiple-Interfaces/dp/B094N8GLZX/ref=sr_1_54?keywords=macbook+pro+m1&qid=1641921626&sr=8-54,218,238,0,8.403361345
"Dell Inspiron 3000 15.6 inch FHD Laptop, AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 10 Home (Black)",Dell Inspiron 3000 15.6 inch F,/Dell-Inspiron-15-6-inch-Backlight-Processor/dp/B08NQ1VX6Z/ref=sr_1_55?keywords=macbook+pro+m1&qid=1641921626&sr=8-55,479,499,383,4.008016032
"Acer Chromebook 314 CB314-H - (Intel Celeron N4000, 4GB RAM, 32GB eMMC, 14 inch HD display, Chrome OS, Silver)",Acer Chromebook 314 CB314-H - ,/Acer-Chromebook-314-CB314-H-Celeron/dp/B082R8SVJZ/ref=sr_1_56?keywords=macbook+pro+m1&qid=1641921626&sr=8-56,208.06,229.99,282,9.535197182
"Acer Swift 3 SF313-53 13.5 inch Laptop - (Intel Core i5-1135G7, 8GB, 512GB SSD, QHD 3:2 Display, Windows 10, Silver)",Acer Swift 3 SF313-53 13.5 inc,/Acer-Swift-SF313-53-13-5-Laptop/dp/B08NCKYDSR/ref=sr_1_57?keywords=macbook+pro+m1&qid=1641921626&sr=8-57,739.9,799.99,13,7.511343892
"2020 Apple Mac mini with Apple M1 Chip (8GB RAM, 512GB SSD)",2020 Apple Mac mini with Apple,/Apple-mini-Chip-512GB-November/dp/B08N5Q8XPF/ref=sr_1_58?keywords=macbook+pro+m1&qid=1641921626&sr=8-58,838.97,899,813,6.677419355
"Lenovo IdeaPad 3 Chromebook 14inch FHD Laptop (MediaTek MT8183, 4 GB RAM, 64GB eMMC, ARM Mali-G72 MP3 Graphics, Chrome OS) – Abyss Blue",Lenovo IdeaPad 3 Chromebook 14,/Lenovo-Chromebook-MediaTek-Mali-G72-Graphics/dp/B096G1KFLS/ref=sr_1_59?keywords=macbook+pro+m1&qid=1641921626&sr=8-59,197.99,249.99,5,20.80083203
"HUAWEI MateBook 13 2020 - 13 Inch Laptop with 2K FullView Screen Ultrabook PC (AMD Ryzen 7 3700U, 16GB RAM, 512GB SSD, Windows 10 Home, Multi-screen Collaboration, Fingerprint Reader), Grey",HUAWEI MateBook 13 2020 - 13 I,/HUAWEI-MateBook-2020-Multi-screen-Collaboration/dp/B094JLJ9LQ/ref=sr_1_60?keywords=macbook+pro+m1&qid=1641921626&sr=8-60,0,0,290,
"CHUWI AeroBook Pro 13.3-inch FHD (1920x1080) IPS Display, Intel Core M3-8100Y Processor, 8GB Memory, 256GB SSD, Windows 10 Home, HD Display, BT, Backlit Keyboard, Dual WiFi, 2 x USB 3.0",CHUWI AeroBook Pro 13.3-inch F,/CHUWI-13-3-inch-1920x1080-Intel-Processor/dp/B08SQBR5PF/ref=sr_1_61?keywords=macbook+pro+m1&qid=1641921626&sr=8-61,0,0,8,
"ASUS ZenBook 14 UM425 Full HD 14” Ultrabook Laptop (AMD Ryzen 5-4500U, 8GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes LED Number Trackpad",ASUS ZenBook 14 UM425 Full HD ,/ASUS-ZenBook-Ultrabook-Keyboard-Trackpad/dp/B0953XHQM1/ref=sr_1_62?keywords=macbook+pro+m1&qid=1641921626&sr=8-62,799,799,28,0
13-inch M1 Mac Book Air Space Grey 8-Core 16GB 1TB SSD Deecies Limited Laptop Air,13-inch M1 Mac Book Air Space ,/13-inch-8-Core-Deecies-Limited-Laptop/dp/B08ZM42P9X/ref=sr_1_63?keywords=macbook+pro+m1&qid=1641921626&sr=8-63,0,0,4,
"2020 Apple MacBook Pro with Intel Core i5 (13 inch, 8GB RAM, 512 GB SSD) Space Grey (Renewed)",2020 Apple MacBook Pro with In,/Apple-MacBook-Touch-Intel-512GB/dp/B08N9ZR7JV/ref=sr_1_64?keywords=macbook+pro+m1&qid=1641921626&sr=8-64,919.99,919.99,11,0
"Acer Aspire 5 A515-55 15.6 inch Laptop - (Intel Core i5-1035G1, 8GB RAM, 512GB SSD, Full HD Display, Windows 10, Silver) - Amazon Exclusive",Acer Aspire 5 A515-55 15.6 inc,/Acer-Aspire-A515-55-15-6-Laptop/dp/B089BJZ8T4/ref=sr_1_65?keywords=macbook+pro+m1&qid=1641921630&sr=8-65,649.99,649.99,449,0
"HUAWEI MateBook 14 - 14 Inch Laptop with 2K FullView Display, AMD Ryzen 5 4600H Ultrabook, 8 GB RAM, 256 GB PCIe SSD, Windows 10 Home, Huawei Share, Fingerprint Unlock, Space Grey",HUAWEI MateBook 14 - 14 Inch L,/HUAWEI-MateBook-2020-Ultrabook-Fingerprint/dp/B08HR4H9FM/ref=sr_1_66?keywords=macbook+pro+m1&qid=1641921630&sr=8-66,0,0,108,
"Apple Macbook Pro 13"" (Touch/Mid 2017) - Core i5 3.1 GHz, 8 GB RAM, 512 GB SSD - Space Grey (Renewed)","Apple Macbook Pro 13"" (Touch/M",/Apple-13-Inch-Macbook-Retina-Space/dp/B07HHFLJMR/ref=sr_1_67?keywords=macbook+pro+m1&qid=1641921630&sr=8-67,830,830,0,0
"LG gram 17Z90P Silver, Ultra-Lightweight 1,350g, 17-inch Laptop, Long Lasting Battery up to 19.5 hours, Intel Core i5-11th Gen, 8 GB, SSD 512 GB","LG gram 17Z90P Silver, Ultra-L",/LG-gram-17Z90P-Ultra-Lightweight-Thunderbolt/dp/B08S3TNVKC/ref=sr_1_68?keywords=macbook+pro+m1&qid=1641921630&sr=8-68,999,999,158,0
"Dell XPS 15 9510 15.6 Inch FHD+ (1920 x 1200) Laptop, Intel Core i7-11800H, NVIDIA GeForce RTX 3050Ti 4GB GDDR6, InfinityEdge Non-Touch 500-Nit Display, 16GB RAM, 512GB SSD, Win 11 Home",Dell XPS 15 9510 15.6 Inch FHD,/Dell-XPS-15-9510-InfinityEdge/dp/B09HDK7Q27/ref=sr_1_69?keywords=macbook+pro+m1&qid=1641921630&sr=8-69,0,0,26,
"HUAWEI MateBook 14 2021 Laptop, 14 inches 2K FullView Display,Intel® Core™ i7-1165G7 processor, 16 RAM, 512 GB SSD, Large 56 Wh battery, Fingerprint, Windows 10 Home-FREE Upgrade to Windows 11, Gray",HUAWEI MateBook 14 2021 Laptop,/HUAWEI-i7-1165G7-processor-Fingerprint-Home-FREE/dp/B09GKMBXTQ/ref=sr_1_70?keywords=macbook+pro+m1&qid=1641921630&sr=8-70,0,0,10,
"Dell XPS 17 9710 17"" UHD+ Laptop, Intel Core i9-11900H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 11 Home, (Platinum Silver)","Dell XPS 17 9710 17"" UHD+ Lapt",/Dell-XPS-9710-Touchscreen-Fingerprint/dp/B09HCW64WR/ref=sr_1_71?keywords=macbook+pro+m1&qid=1641921630&sr=8-71,0,0,22,
Samsung Galaxy Book S 13.3 Inch 8 GB Intel i5 Laptop - Mercury Grey (UK Version),Samsung Galaxy Book S 13.3 Inc,/Samsung-Galaxy-Book-Intel-Laptop/dp/B088KM5HFC/ref=sr_1_72?keywords=macbook+pro+m1&qid=1641921630&sr=8-72,999,999,140,0
"Dell Inspiron 7306 13.3 inch FHD 2-in-1 Laptop, Intel Evo Core i5-1135G7, 8GB RAM, 512GB SSD, Touchscreen, Active Pen and Charging Dock, Windows 10 Home (Black)",Dell Inspiron 7306 13.3 inch F,/Dell-Inspiron-i5-1135G7-Charging-Fingerprint/dp/B08KWFHWSH/ref=sr_1_73?keywords=macbook+pro+m1&qid=1641921630&sr=8-73,0,0,18,
Blade 15 Base Model (O1NT/15.6/FHD-120HZ/i7/16GB RAM/GTX 1660 Ti/256GB SSD),Blade 15 Base Model (O1NT/15.6,/Razer-Blade-15-2020-Lighting/dp/B08LW575X9/ref=sr_1_74?keywords=macbook+pro+m1&qid=1641921630&sr=8-74,0,0,622,
"Microsoft Surface Laptop 4 Super-Thin 13.5 Inch Touchscreen Laptop (Platinum) – 6x Cores AMD Ryzen 5 with Radeon Graphics (Microsoft Surface Edition) 8 GB RAM, 256 GB SSD, Windows 10 Home, 2021 Model",Microsoft Surface Laptop 4 Sup,/Microsoft-Surface-Super-Thin-Touchscreen-Platinum/dp/B08VJMXKYK/ref=sr_1_75?keywords=macbook+pro+m1&qid=1641921630&sr=8-75,879,999,43,12.01201201
"Dell XPS 13 7390 13.3 Inch 4K UHD Laptop, Intel Core i7-10510U (10th Gen), 16 GB RAM, 512 GB SSD, InfinityEdge Touch Display, Fingerprint Reader, Win 10 Home (Silver)",Dell XPS 13 7390 13.3 Inch 4K ,/Dell-XPS-7390-InfinityEdge-Fingerprint/dp/B089DNDG6Q/ref=sr_1_76?keywords=macbook+pro+m1&qid=1641921630&sr=8-76,0,0,53,
"ASUS ZenBook 14 UX425EA Full HD 400nits Full HD Laptop (Intel i7-1165G7, 16 GB RAM, 512 GB SSD, Backlit Keyboard, WiFi 6, Windows 10)",ASUS ZenBook 14 UX425EA Full H,/ASUS-ZenBook-UX425EA-i7-1165G7-Keyboard/dp/B096MPHB92/ref=sr_1_77?keywords=macbook+pro+m1&qid=1641921630&sr=8-77,0,0,89,
"Dell XPS 15 7590 15.6 inch 4K UHD Touchscreen, Intel Core i7-9750H, InfinityEdge IPS 2019 Laptop (Silver) 16 GB RAM, 512 GB SSD, Nvidia GeForce GTX 1650 with 4GB GDDR5, FINGERPRINT READER, W10 Home",Dell XPS 15 7590 15.6 inch 4K ,/Dell-Touchscreen-InfinityEdge-i7-9750H-FINGERPRINT/dp/B07Z6NHCHR/ref=sr_1_78?keywords=macbook+pro+m1&qid=1641921630&sr=8-78,0,0,20,
"Dell XPS 13 9305 13.3 inch FHD Laptop, Intel Evo Core i5-1135G7, 8GB RAM, 256GB SSD, Backlit Keyboard, Fingerprint Reader, Windows 11 Home, (Platinum Silver)",Dell XPS 13 9305 13.3 inch FHD,/Dell-XPS-13-9305-Fingerprint/dp/B09HDC4LVD/ref=sr_1_79?keywords=macbook+pro+m1&qid=1641921630&sr=8-79,0,0,11,
